,id,title,company_id,intro,category_id,level,recommendPerson,tool,activity,time,grade,thumbnail,createdAt
1298,3908,Inspecto : The 2nd case,812,"당신이 누구인진 중요하지 않아요. 그저 제가 시키는대로, 바라는대로 움직여 주세요.
거부할순 없어요. 알겠어요?",6,4,2,1,2,80,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/4c16671c-3476-4233-838a-5cb61235b44d.png,2023-08-11
1299,3909,닥터 슈나벨,267,"18세기 어느 나라에 심각한 전염병이 퍼진다. 사람들은 속수무책으로 죽어가기만 하고 결국 나라의 국왕까지 전염병에 걸리고 마는데, 변방의 한 시골마을에서 전염병 치료제가 있다는 소문이 돈다. 왕은 급하게 특사를 보내 마을을 조사하게 하는데 얼마전부터 마을에 드나드는 사",8,3,2,1,1,70,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/1394aa3b-8dca-4a5b-b1da-dd4b34977abc.jpg,2023-08-11
1300,3910,짜불성설,410,"취업을 위해 서울에 홀로 상경한 아들이
사라졌다는 실종 신고가 접수됐다.

평소 자주 연락하던 아들이 갑자기 소식이 끊겼는데,

초동수사의 중요함을 알기에 수사관들은 긴박하게

청년이 묵고 있던, 고시텔로  향하게 된다…",4,4,2,1,1,75,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/057823de-b7dd-48ea-afeb-9cb0197fdd21.png,2023-08-11
1301,3911,노 웨이 아웃,840,"내가 사랑하는 사람의 연락이 며칠전부터 두절되었다.
간신히 알아낸 그 사람의 핸드폰 신호를 이용해 근처까지 가보게 되는데,
그곳은 허름한 건물 지하.
그리고 발견한 그 사람, 어서 빨리 그를 구출해내고 이곳에서 빠져 나가야한다",1,4,2,0,0,60,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/bbc9aa1e-5787-4903-8e6e-3dba0febd0fb.jpg,2023-08-15
1302,3912,세이브 더 월드,840,"오락실을 지나가는데 들려오는 의문의 목소리,
공주를 마왕으로 부터 구해야하는 용사가 없어졌다니..
이제부터 당신의 손에 이 게임의 운명이 달려있다.",20,3,2,1,1,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/879d6e18-1dc8-4c83-b653-1744c25b0ab5.jpg,2023-08-15
1303,3913,纹身(문신),826,"홍콩, 나의 첫 해외여행.

이 설렘의 순간을 기억하고 싶어.
작은 문신이나 새겨볼까?

再完美不过了…",1,3,2,2,0,67,4.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/0603e35d-7b52-4cbf-ae84-829e6dba8e56.png,2023-08-15
1304,3914,FILM BY BOB,806,"ºName_Bob Coulson
ºAge_31 years old
ºGender_Male
ºDepartment_Cleaner

º직원정보
청소부.
아직 변경된 근로계약서에 서명 안 했음.
금일 출근하면 근로 계약서 작성해야 함.

º밥의 한 마디
안 짤리고 출근한 기분이",12,3,2,2,1,75,4.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/a729cd81-9219-421e-8d50-aad162ebfbd0.jpg,2023-08-18
1305,3915,ALLTHEBOX PARADISE,819,"올더박스 파라다이스
상자를 열고 다양한 경품들을 가져가세요.
사기 아니냐고요?
싸구려만 넣어놓고 과대광고할 게 뻔하다고요?
올더박스는 다릅니다.
보여드리죠.

..지금 언박싱합니다,
올더박스 파라다이스.",12,4,3,1,1,80,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/631c27eb-71c4-4342-917e-5a87e5392e28.png,2023-08-24
1306,3916,엘리베이터,810,"‘주차장’에서 자기 자신의 이름을 포함해 모든 과거의 기억을 잃은체 깨어난 당신. 머리에는 자루가 씌워지고, 손발이 묶인 상태에서 용케도 탈출에 성공하여 건물 안까지 침투하는데 성공했다. 그리고 그 과정 중에 당신은 세가지 사실을 알아내었다.

1. 당신은 이 건물을 ",4,3,2,2,0,60,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/e2637204-f7cb-4243-b9a9-6e1296ac6351.png,2023-08-29
1307,3917,프리즌 이스케이프 : 리턴,132,"미국의 악명 높은 죄수들을 수감하는 것으로 유명한 샌프란시코만 알카트래즈섬에

위치한 알카트래즈 감옥. 탈옥을 시도했던 죄수들 모두 실패하거나 바다에 빠져 죽

었으며, 공식적으로 탈옥에 성공한 죄수는 아직까지 단 한명도 없다.

누명을 쓰고 들어와 사형의 위기에 처해",9,4,2,0,2,60,3.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c73fbe0d-5698-4237-b328-6d164e544dfc.jpg,2023-08-29
1308,3919,미져리,132,"차를 타고 가던 중 갑자기 충격이 전해지며 정신을 잃었다.

깨어나보니 창고로 추측되는 장소.

누군가가 나에게 꼬박꼬박 식사를 넣어주며 거칠게 대하지는 않는다.

납치를 당한 것은 확실한 사실인 것 같다.

나 말고도 이곳에 사람이 감금되어 있었던 것 같다.

사람 ",4,3,2,0,1,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/50719733-77b1-44cc-a33e-4f1392646d98.jpg,2023-08-29
1309,3920,대부호 스핑크스의 초대장,132,"대부호 스핑크스 라는 가명을 쓰는 어떤 인물이 있었다.

그가 누구인지, 그가 어떤일을 꾸미는지는 아무도 아는사람이 없었으며,

종종 그의 초대장이 도착하는 사람만 있었을 뿐이다.

초대장의 내용은 여러 가지였지만 대부분은 사람의 능력을

테스트하고 통과하는 자에게는 ",6,2,2,0,0,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/32577e94-e60a-46f7-ba89-868fc052860c.jpg,2023-08-29
1310,3921,스텔라,826,"가장 빛나는 별, 스텔라",12,3,2,2,1,70,4.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/476eee0f-967d-4586-aed3-85b6b7bb52f6.png,2023-08-29
1311,3922,고인,337,Welcome to Village,5,5,2,0,0,60,4.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/25642c77-35c9-4a70-8440-9d66d4f315cc.jpg,2023-09-01
1312,3923,더맨,823,"1차 세계대전 패배로 인해 경제와 산업이 무너졌고,국민들은 강대했던 옛 시절을 그리워했다. 

이 때 과거의 영광을 되찾자는 한 사람이 나타났고, 국민들은 열광했다. 

그로부터 몇 년이 지나자 서서히 전운이 감돌기 시작하였다.  ",1,4,3,1,1,80,3.7,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/3bed1290-3482-4b4e-bc93-aa108412eddb.jpg,2023-09-15
1313,3924,Mr. Bang,811,"가게까지 물려받은 동생을 보니 배가 아프다!
인터넷에서 만난 나의 조력자님과 함께
동생의 가게를 엉망진창으로 만들겠어!
네가 잘되는 꼴은 절대~로 못봐!!

*건물 내부에서 진행하는 반야외 테마입니다.
*테마 특성상 계단 이동이 꽤 있어 다리부상 시 이용이 어려우실 수",11,3,2,2,2,70,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/ed292361-43f1-4ef4-aa02-01e2d62acb86.png,2023-09-16
1314,3925,금 나와라 뚝딱,685,"(실내 60분 + 실외 60분으로 진행되는 테마입니다.) 야심한 밤, 은밀하게 담을 넘는 당신의 목적은 오로지 금, 금! 지령에 따라 한 보따리 가득 금품을 챙겨라!",10,4,2,2,2,120,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5119df44-14b0-43ab-94ce-4f8e83e6d36d.jpg,2023-09-22
1315,3926,시간관리국,842,"2200년 부족한 인구 대비 노년층이 압도적으로 만들어진다. 노년층은 일자리가 늘어가고, 세상은 노인 위주 시대가 되어버린다. 시간 관리국 소속 직원인 승주는 어느 날, 영생의 약을 구할 수 있는 경로에 대한 소문을 듣게 되는데…

*** 시간관리국 테마 이용시 주의사",13,4,2,1,1,60,4.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b71b76c8-6b90-4748-8a0a-83681f40899f.jpg,2023-09-22
1316,3927,홍연,842,"저잣거리에 나가보니 재밌는 소문이 돌더라. 마을 어귀에 실을 파는 노인이 있는데, 그곳에 파는 홍실을 사서 두사람의 손가락을 묶으면 부부의 연을 맺을 수 있대. 본디 모든 사람의 인연은 이 운명의 실로 묶여있는 것을 그래. 이번에는 어떤 색 실을 택할테냐?",10,3,2,1,1,60,4.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/8af97565-0b89-406f-8950-5a9947eaf4f2.jpg,2023-09-22
1317,3928,Red&White,842,"운명의 상대를 보여준다는 특별한 칵테일이 있는 곳, 술을 너무 과하게 먹은 걸까... 술잔 안에 희미하게 그녀의 얼굴이 보이는 듯했다. 머리가 아프다. 돌아가서 잠을 좀 자야겠다.",12,3,2,1,1,60,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/92a0f918-dd4f-4324-9f28-b8dd9aecd84c.jpg,2023-09-22
1318,3929,잊지못할하루,749,여러분들은 어릴 적 가장 기억에 남는 하루가 언제인가요? 80/90년대 어린 시절 가난했던 영식이의 잊지 못할 하루 지금 바로 시작합니다 *검정고무신을 모티브로 제작되었습니다*,12,4,2,1,1,60,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b742425a-1339-423c-b104-5cd31dce2a48.jpg,2023-09-23
1319,3930,호스피스,840,한 통의 전화를 받고 도착한 그곳은...,8,4,2,1,1,75,4.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c2116730-b652-458a-8533-50260e49f6bf.jpg,2023-09-26
1320,3931,별점테러 짜장나요,840,"영국의 유명 탐정 학교를 졸업한 후, 탐정 사무소를 개업한 나에게 들어온 첫번째 의뢰! 
배달 앱 별점 1점 리뷰 테러에 충격받은 중국집 사장님이 범인을 찾아달라는데…  
기대했던 것보다는 사소한 임무지만 그 어떤 의뢰도 대충 처리할 수 없다! 
범인은... 바로 이 ",11,3,2,1,0,60,4.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/02788d86-639f-4f8c-849e-b8636f234c6c.jpg,2023-09-26
