,0,1,2,3,4,5,6,7,8
3030,-0.16666666666666666,1.0,0.5384615384615384,0.0,0.0,0.8222222222222222,-0.6170212765957447,0.6666666666666666,0.5384615384615384
617,-0.375,0.5,0.0,-1.0,1.0,0.6,-0.8823529411764706,0.38461538461538464,0.0
516,-1.0,1.0,0.14285714285714285,0.0,1.0,0.6,0.5,0.6,-1.0
514,-1.0,0.7142857142857143,0.0,-1.0,1.0,1.0,1.0,0.8,0.0
3132,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.5,1.0
517,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0
185,-0.3333333333333333,1.0,0.6875,-1.0,1.0,1.0,-1.0,0.8095238095238095,1.0
1796,0.0,1.0,0.6363636363636364,1.0,0.0,0.75,-0.5,0.7391304347826086,0.5
184,-1.0,1.0,0.23809523809523808,-1.0,1.0,0.5,1.0,0.92,0.0
171,1.0,1.0,0.5,-1.0,0.0,0.6666666666666666,-1.0,0.8666666666666667,1.0
3401,0.14285714285714285,1.0,0.6689655172413793,0.3333333333333333,1.0,1.0,0.09090909090909091,0.9166666666666666,0.6
1845,0.0,1.0,0.09090909090909091,0.0,1.0,1.0,-0.7777777777777778,0.6666666666666666,0.0
3140,0.0,1.0,0.6,0.0,1.0,1.0,-1.0,1.0,0.0
3385,-0.5,1.0,0.4444444444444444,-1.0,1.0,0.8461538461538461,-0.7,0.7647058823529411,1.0
3446,0.0,1.0,0.17857142857142858,-1.0,1.0,1.0,-1.0,0.8888888888888888,0.75
3585,1.0,0.967741935483871,0.9285714285714286,0.0,1.0,0.9393939393939394,-0.1111111111111111,0.8333333333333334,0.8333333333333334
356,-0.8333333333333334,0.7777777777777778,0.42857142857142855,-1.0,1.0,1.0,0.875,0.7647058823529411,-1.0
357,-1.0,1.0,0.75,0.0,1.0,1.0,0.92,0.6923076923076923,0.0
172,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0
3522,1.0,1.0,0.45454545454545453,0.0,1.0,0.7714285714285715,0.5,0.8082191780821918,0.0
3372,-0.8125,1.0,0.25,-1.0,1.0,1.0,0.0,0.7894736842105263,1.0
3328,0.0,1.0,0.5,0.0,1.0,0.6,0.0,0.8571428571428571,0.0
2187,0.0,1.0,0.2727272727272727,-1.0,1.0,0.0,-0.6842105263157895,0.45454545454545453,-1.0
1847,-1.0,1.0,0.5833333333333334,0.0,1.0,0.8947368421052632,-0.5555555555555556,0.2,0.0
143,-1.0,0.9,0.8297872340425532,0.0,1.0,1.0,-0.5,0.875,1.0
3458,-0.3333333333333333,0.8620689655172413,0.6666666666666666,-0.6,1.0,0.9183673469387755,0.14285714285714285,0.9117647058823529,0.6
67,0.0,1.0,0.0,0.3333333333333333,1.0,0.5789473684210527,-0.16666666666666666,1.0,0.0
81,0.0,0.0,-0.3333333333333333,-1.0,0.0,0.0,-0.5,1.0,-1.0
3252,1.0,1.0,-0.3333333333333333,-1.0,1.0,0.3333333333333333,-1.0,0.7647058823529411,0.0
3313,-0.3333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.49019607843137253,0.8787878787878788,1.0
3361,-1.0,1.0,0.7142857142857143,-1.0,1.0,1.0,-0.2,0.9285714285714286,0.0
3437,1.0,1.0,0.75,0.0,0.6363636363636364,0.8709677419354839,-0.3103448275862069,0.9433962264150944,0.0
